kind,id,type_or_predicate,label_or_source,target,attrs
node,trace:concept:l2-0073,concept,Indicator,,"{""alt_labels"": [], ""definition"": ""A quantitative or qualitative variable that represents an approximation of the characteristic, phenomenon or change of interest (for instance, efficiency, quality or outcome)."", ""layer"": 2, ""pref_label"": ""Indicator"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0073"", ""degree"": 374}"
node,trace:concept:l2-0038,concept,Deliverables,,"{""alt_labels"": [], ""definition"": ""A specific, time-bound, contractually obligated indicator of progress toward an output, innovation, outcome or impact. It is proof of the completion of a set of activities."", ""layer"": 2, ""pref_label"": ""Deliverables"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0038"", ""degree"": 316}"
node,trace:concept:l2-0005,concept,Activity,,"{""alt_labels"": [], ""definition"": ""A measurable amount of work performed to convert inputs (i.e., time and resources) into outputs or innovations."", ""layer"": 2, ""pref_label"": ""Activity"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0005"", ""degree"": 240}"
node,trace:concept:l2-0112,concept,Partners,,"{""alt_labels"": [], ""definition"": ""Organizations or individual stakeholders that the CGIAR collaborates with to achieve its goals for which proof exists."", ""layer"": 2, ""pref_label"": ""Partners"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0112"", ""degree"": 150}"
node,trace:country:ng,country,Nigeria,,"{""iso2"": ""NG"", ""iso3"": ""NGA"", ""degree"": 148}"
node,trace:country:tz,country,Tanzania,,"{""iso2"": ""TZ"", ""iso3"": ""TZA"", ""degree"": 142}"
node,trace:concept:l2-0074,concept,Innovation,,"{""alt_labels"": [], ""definition"": ""New, improved or adapted outputs or groups of outputs such as products, technologies, services, organizational and institutional arrangements with high potential to contribute to positive impacts when used at scale."", ""layer"": 2, ""pref_label"": ""Innovation"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0074"", ""degree"": 140}"
node,trace:program:sp01,program,Breeding for Tomorrow,,"{""code"": ""SP01"", ""porb_name"": ""Breeding for Tomorrow"", ""is_focus_program"": true, ""portfolio"": ""CGIAR 2025-2030"", ""degree"": 123}"
node,trace:country:ke,country,Kenya,,"{""iso2"": ""KE"", ""iso3"": ""KEN"", ""degree"": 109}"
node,trace:concept:l2-0109,concept,Outputs,,"{""alt_labels"": [], ""definition"": ""Knowledge, technical or institutional advancement produced by CGIAR research, engagement and/or capacity development activities."", ""layer"": 2, ""pref_label"": ""Outputs"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0109"", ""degree"": 99}"
node,trace:concept:l3-042,concept,Smallholder farmers,,"{""alt_labels"": [""smallholders"", ""smallholder farmer"", ""small-scale farmers"", ""family farmers"", ""farmers"", ""rural households"", ""farming households""], ""definition"": ""The people who run smallholder farms. Conditional: tagged only when a hazard is present in the same text."", ""layer"": 3, ""pref_label"": ""Smallholder farmers"", ""source"": ""expert"", ""status"": ""draft"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L3-042"", ""degree"": 99}"
node,trace:aow:sp01-aow02,aow,Accelerated Breeding,,"{""code"": ""AOW02"", ""program_code"": ""SP01"", ""global_share_pct"": 10.0, ""degree"": 84}"
node,trace:hlo:sp01-hlo9-aow2-io2,hlo,Create products,,"{""aow_code"": ""AOW02"", ""budget_basis"": ""sum of the PORB HLO-sheet rows of this HLO"", ""budget_usd"": 12322722.0, ""centres"": [""AfricaRice"", ""CIAT (Alliance)"", ""CIMMYT"", ""CIP"", ""ICARDA"", ""ICRISAT"", ""IITA"", ""IRRI"", ""Unknown Center""], ""code"": ""HLO9.AOW2.IO2"", ""n_indicator_rows"": 67, ""program_code"": ""SP01"", ""degree"": 79}"
node,trace:country:in,country,India,,"{""iso2"": ""IN"", ""iso3"": ""IND"", ""degree"": 79}"
node,trace:country:ug,country,Uganda,,"{""iso2"": ""UG"", ""iso3"": ""UGA"", ""degree"": 78}"
node,trace:aow:sp01-aow05,aow,Enable,,"{""code"": ""AOW05"", ""program_code"": ""SP01"", ""global_share_pct"": 227.7, ""degree"": 77}"
node,trace:country:ci,country,Côte d'Ivoire,,"{""iso2"": ""CI"", ""iso3"": ""CIV"", ""degree"": 68}"
node,trace:concept:l2-0309,concept,Tools (Implementation Resource),,"{""alt_labels"": [], ""definition"": ""Methodologies, datasets, templates, concepts, monitoring and data collection instruments, and protocols required to conduct research and MELIA operations."", ""layer"": 2, ""pref_label"": ""Tools (Implementation Resource)"", ""source"": ""lexicon"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0309"", ""degree"": 66}"
node,trace:hlo:sp01-hlo18-aow5-io2,hlo,Partnered networks,,"{""aow_code"": ""AOW05"", ""budget_basis"": ""sum of the PORB HLO-sheet rows of this HLO"", ""budget_usd"": 3422394.0, ""centres"": [""AfricaRice"", ""CIAT (Alliance)"", ""CIMMYT"", ""CIP"", ""ICARDA"", ""ICRISAT"", ""IITA"", ""IRRI"", ""Unknown Center""], ""code"": ""HLO18.AOW5.IO2"", ""n_indicator_rows"": 54, ""program_code"": ""SP01"", ""degree"": 63}"
node,trace:country:et,country,Ethiopia,,"{""iso2"": ""ET"", ""iso3"": ""ETH"", ""degree"": 61}"
node,trace:concept:l2-p-analysis,concept,Analysis,,"{""alt_labels"": [], ""definition"": ""Structural node: terms used at the analysis stage (P4) \u2014 evaluation, impact assessment and interpretation of evidence."", ""layer"": 2, ""pref_label"": ""Analysis"", ""source"": ""lexicon"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-P-ANALYSIS"", ""degree"": 58}"
node,trace:concept:l2-0139,concept,Research,,"{""alt_labels"": [], ""definition"": ""Generation and communication of data, information and knowledge on an empirical basis."", ""layer"": 2, ""pref_label"": ""Research"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0139"", ""degree"": 56}"
node,trace:concept:l3-040,concept,Yield,,"{""alt_labels"": [""yields"", ""improved yields"", ""higher yields"", ""yield gains"", ""yield increase"", ""yield increases"", ""crop yield""], ""definition"": ""Output per unit area or animal. Conditional: tagged as climate vocabulary only when a hazard is present in the same text ('improved yields \u2014 improved for what?')."", ""layer"": 3, ""pref_label"": ""Yield"", ""source"": ""expert"", ""status"": ""draft"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L3-040"", ""degree"": 56}"
node,trace:concept:l2-0147,concept,Scaling,,"{""alt_labels"": [], ""definition"": ""Investments, strategies and processes aimed at increasing innovation readiness and/ or innovation use to contribute to positive impacts at scale."", ""layer"": 2, ""pref_label"": ""Scaling"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0147"", ""degree"": 55}"
node,trace:kp:hdl-10568-185065,kp,"Urochloa hybrid adoption in Latin America and the Caribbean 2001–2024: An analysis of the land use, social, economic, and environmental impacts in 27 countries",,"{""abstract"": ""Sustainable intensification of tropical cattle production is essential to meet growing demand for animal-sourced foods while reducing environmental degradation. Improved interspecific Urochloa (syn. Brachiaria ) hybrids have been promoted as a key innovation to increase forage productivity and resource-use efficiency, yet their large-scale adoption and impacts across Latin America and the Caribbean (LAC) remain poorly quantified. Methods This study assessed the adoption and multidimensional impacts of interspecific Urochloa hybrids across 27 LAC countries from 2001 to 2024. Estimates were derived by integrating commercial seed sales data, national statistics, published literature, and Monte Carlo simulations to quantify adoption, economic benefits, greenhouse gas (GHG) mitigation, and land-use implications under different adoption scenarios. An estimated 1.09 million farmers adopted Urochloa hybrids on a cumulative 1.62 million ha established between 2001 and 2024, with approximately 1.07 million ha remaining active in 2024 assuming a 10-year pasture lifespan. Adoption reached an estimated 7.49 million people through direct and indirect associations. By 2033, cumulative gross forage value is projected at US$47\u201362 billion. Scenario analyses indicate potential reductions of 16.9\u201356.3 Mt CO2-eq in GHG emissions and land savings of 1.8\u20135.9 million ha to achieve equivalent liveweight gain, with the greatest environmental benefits occurring when hybrids are integrated into silvopastoral systems. Despite substantial economic and environmental benefits, adoption remains low relative to the total tropical grassland area due to persistent constraints in seed systems, limited access to knowledge and extension, and policy barriers. Expanding the use of Urochloa hybrids could substantially enhance the sustainability of tropical livestock systems by simultaneously improving productivity, reducing emissions, and limiting land expansion. Scaling these benefits will require coordin\u2026"", ""access_rights"": ""Open Access"", ""cgspace_uuid"": ""ac8c3933-fa68-4d0b-9339-ecf2c87b1019"", ""countries"": [""Argentina"", ""Bahamas"", ""Barbados"", ""Belize"", ""Bermuda"", ""Bolivia (Plurinational State of)"", ""Brazil"", ""Chile"", ""Colombia"", ""Costa Rica"", ""Cuba"", ""Dominican Republic"", ""Ecuador"", ""El Salvador"", ""Guatemala"", ""Guyana"", ""Honduras"", ""Jamaica"", ""Mexico"", ""Nicaragua"", ""Panama"", ""Paraguay"", ""Peru"", ""Puerto Rico"", ""Trinidad and Tobago"", ""Uruguay"", ""Venezuela (Bolivarian Republic of)""], ""doi"": ""https://doi.org/10.3389/fsufs.2026.1837983"", ""donors"": [], ""from_cgspace"": true, ""handle"": ""10568/185065"", ""has_fulltext"": true, ""impact_areas"": [""Climate adaptation and mitigation"", ""Environmental health and biodiversity""], ""initiatives"": [], ""issued"": ""2026-08-14"", ""license"": ""CC-BY-4.0"", ""programs"": [""Breeding for Tomorrow"", ""Climate Action"", ""Multifunctional Landscapes"", ""Scaling for Impact"", ""Sustainable Animal and Aquatic Foods"", ""Sustainable Farming""], ""project_ids"": [], ""publisher"": ""FRONTIERS MEDIA"", ""regions"": [""Americas"", ""Northern America"", ""Caribbean"", ""Central America"", ""South America"", ""Latin America and the Caribbean""], ""review_status"": ""Peer Review"", ""sdgs"": [""SDG 1 - No poverty"", ""SDG 2 - Zero hunger"", ""SDG 8 - Decent work and economic growth"", ""SDG 12 - Responsible production and consumption"", ""SDG 13 - Climate action""], ""subjects"": [""evaluation"", ""forage"", ""impact assessment"", ""sustainable intensification"", ""seed systems"", ""intensificaci\u00f3n sostenible"", ""technology adoption"", ""hybrids"", ""forraje"", ""urochloa"", ""evaluaci\u00f3n de impacto"", ""adopci\u00f3n de tecnolog\u00eda"", ""innovation scaling"", ""sistema de semillas"", ""h\u00edbrido"", ""escalamiento de la innovaci\u00f3n""], ""title"": ""Urochloa hybrid adoption in Latin America and the Caribbean 2001\u20132024: An analysis of the land use, social, economic, and environmental impacts in 27 countries"", ""type"": ""Journal Article"", ""uri"": ""https://hdl.handle.net/10568/185065"", ""degree"": 54}"
node,trace:concept:l2-0007,concept,Adoption,,"{""alt_labels"": [], ""definition"": ""Acquisition and use of social, institutional or technological innovations."", ""layer"": 2, ""pref_label"": ""Adoption"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0007"", ""degree"": 54}"
node,trace:hlo:sp01-hlo16-aow4-io3,hlo,Shared services,,"{""aow_code"": ""AOW04"", ""budget_basis"": ""sum of the PORB HLO-sheet rows of this HLO"", ""budget_usd"": 2329793.0, ""centres"": [""AfricaRice"", ""CIMMYT"", ""CIP"", ""ICARDA"", ""ICRISAT"", ""IFPRI"", ""IITA"", ""IRRI""], ""code"": ""HLO16.AOW4.IO3"", ""n_indicator_rows"": 39, ""program_code"": ""SP01"", ""degree"": 53}"
